timestamp,building,floor,washroom,occupancy,water_flow_lpm,flush_count,sensor_status
2026-09-19 06:00:00,Block A,Floor 1,Washroom 1,2,0.32,1,Healthy
2026-09-19 06:15:00,Block A,Floor 1,Washroom 1,0,0.0,0,Healthy
2026-09-19 06:30:00,Block A,Floor 1,Washroom 1,1,0.33,0,Healthy
2026-09-19 06:45:00,Block A,Floor 1,Washroom 1,3,0.83,1,Healthy
2026-09-19 07:00:00,Block A,Floor 1,Washroom 1,2,0.36,0,Healthy
2026-09-19 07:15:00,Block A,Floor 1,Washroom 1,0,0.31,0,Healthy
2026-09-19 07:30:00,Block A,Floor 1,Washroom 1,1,0.21,2,Healthy
2026-09-19 07:45:00,Block A,Floor 1,Washroom 1,1,0.43,0,Healthy
2026-09-19 08:00:00,Block A,Floor 1,Washroom 1,13,2.57,3,Healthy
2026-09-19 08:15:00,Block A,Floor 1,Washroom 1,14,2.87,1,Healthy
2026-09-19 08:30:00,Block A,Floor 1,Washroom 1,8,1.71,3,Healthy
2026-09-19 08:45:00,Block A,Floor 1,Washroom 1,9,1.81,1,Healthy
2026-09-19 09:00:00,Block A,Floor 1,Washroom 1,15,2.89,1,Healthy
2026-09-19 09:15:00,Block A,Floor 1,Washroom 1,13,2.6,4,Healthy
2026-09-19 09:30:00,Block A,Floor 1,Washroom 1,17,3.05,5,Healthy
2026-09-19 09:45:00,Block A,Floor 1,Washroom 1,15,2.79,2,Healthy
2026-09-19 10:00:00,Block A,Floor 1,Washroom 1,6,1.03,0,Healthy
2026-09-19 10:15:00,Block A,Floor 1,Washroom 1,13,2.52,4,Healthy
2026-09-19 10:30:00,Block A,Floor 1,Washroom 1,13,2.37,0,Healthy
2026-09-19 10:45:00,Block A,Floor 1,Washroom 1,10,1.73,1,Healthy
2026-09-19 11:00:00,Block A,Floor 1,Washroom 1,12,2.4,3,Healthy
2026-09-19 11:15:00,Block A,Floor 1,Washroom 1,11,1.83,0,Healthy
2026-09-19 11:30:00,Block A,Floor 1,Washroom 1,6,1.05,2,Healthy
2026-09-19 11:45:00,Block A,Floor 1,Washroom 1,17,3.15,3,Healthy
2026-09-19 12:00:00,Block A,Floor 1,Washroom 1,10,2.1,1,Healthy
2026-09-19 12:15:00,Block A,Floor 1,Washroom 1,12,2.2,5,Healthy
2026-09-19 12:30:00,Block A,Floor 1,Washroom 1,11,1.95,1,Healthy
2026-09-19 12:45:00,Block A,Floor 1,Washroom 1,17,3.36,1,Healthy
2026-09-19 13:00:00,Block A,Floor 1,Washroom 1,7,1.29,2,Healthy
2026-09-19 13:15:00,Block A,Floor 1,Washroom 1,14,2.63,3,Healthy
2026-09-19 13:30:00,Block A,Floor 1,Washroom 1,19,4.09,4,Healthy
2026-09-19 13:45:00,Block A,Floor 1,Washroom 1,10,1.84,0,Healthy
2026-09-19 14:00:00,Block A,Floor 1,Washroom 1,16,3.06,2,Healthy
2026-09-19 14:15:00,Block A,Floor 1,Washroom 1,10,1.94,2,Healthy
2026-09-19 14:30:00,Block A,Floor 1,Washroom 1,10,1.74,0,Healthy
